Achromobacter xylosoxidans
Acinetobacter baumannii
Aeromonas hydrophila
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Anaerococcus prevotii
Bacillus cereus
Blastocystis hominis
Brachyspira hyodysenteriae
Campylobacter coli
Campylobacter curvus
Campylobacter fetus
Campylobacter jejuni
Campylobacter lari
Candida albicans
Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium septicum
Clostridium tetani
Corynebacterium diphtheriae
Cronobacter sakazakii
Elizabethkingia anophelis
Elizabethkingia meningoseptica
Entamoeba histolytica
Enterobacter cloacae
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterocytozoon bieneusi
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fusobacterium necrophorum
Fusobacterium nucleatum
Gardnerella vaginalis
Giardia intestinalis
Haemophilus influenzae
Haemophilus parainfluenzae
Helicobacter pylori
Human mastadenovirus D
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Listeria monocytogenes
Morganella morganii
Paraclostridium bifermentans
Parvimonas micra
Pasteurella multocida
Peptostreptococcus anaerobius
Porphyromonas gingivalis
Prevotella bivia
Prevotella intermedia
Prevotella melaninogenica
Proteus mirabilis
Providencia alcalifaciens
Providencia rettgeri
Pseudomonas aeruginosa
Rothia dentocariosa
Salmonella enterica
Serratia marcescens
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus pseudintermedius
Stenotrophomonas maltophilia
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus
Streptococcus gordonii
Streptococcus iniae
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Tannerella forsythia
Trichomonas vaginalis
Ureaplasma parvum
Ureaplasma urealyticum
Yersinia pestis
